chain_id,task,model,sample_index,seeded_from_main_experiment,turn,correct,turn_speedup,best_speedup_so_far,gap_vs_eager_x,gap_vs_torch_compile_x
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,23,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,24,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,25,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,26,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,27,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,28,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,29,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,30,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,31,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,32,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,33,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,34,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,35,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,36,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,37,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,38,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,39,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,40,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,41,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,42,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,43,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,44,0,,0.9619469216182842,-0.03805307838171579,
triton|0shot|1_Square_matrix_multiplication_|Qwen/Qwen3-Coder-30B-A3B-Instruct|902,1_Square_matrix_multiplication_,Qwen/Qwen3-Coder-30B-A3B-Instruct,902,1,45,0,,0.9619469216182842,-0.03805307838171579,
